Community Area Number,COMMUNITY AREA NAME,centroid_x,centroid_y,PERCENT OF HOUSING CROWDED,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 16+ UNEMPLOYED,PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA,PERCENT AGED UNDER 18 OR OVER 64,PER CAPITA INCOME ,PERCENT OF HOUSING UNITS VACANT,NUM_CRIMES_2016
1,Rogers Park,1164399.219,1947666.815,7.7,23.6,8.7,18.2,27.5,23939,11.8705558,3420
2,West Ridge,1158307.2,1943243.722,7.8,17.2,8.8,20.8,38.5,23040,9.870385204,3068
3,Uptown,1168228.082,1930980.022,3.8,24,8.9,11.8,22.2,35787,8.672136689,3330
4,Lincoln Square,1159618.804,1933105.743,3.4,10.9,8.2,13.4,25.5,37524,8.600421983,1859
5,North Center,1161104.228,1924056.01,0.3,7.5,5.2,4.5,26.2,57123,10.10063592,1280
6,Lake View,1169108.569,1922712.107,1.1,11.4,4.7,2.6,17,60058,8.57397235,5671
7,Lincoln Park,1170461.597,1915088.662,0.8,12.3,5.1,3.6,21.5,71551,9.027777778,3989
8,Near North Side,1175512.22,1906089.147,1.9,12.9,7,2.5,22.6,88669,17.0771599,9847
9,Edison Park,1125542.283,1945199.392,1.1,3.3,6.5,7.4,35.3,40959,4.794520548,283
10,Norwood Park,1128781.603,1937473.002,2,5.4,9,11.5,39.5,32875,5.748359414,1223
11,Jefferson Park,1137651.455,1934171.249,2.7,8.6,12.4,13.4,35.5,27751,7.887323944,993
12,Forest Glen,1141967.196,1939560.716,1.1,7.5,6.8,4.9,40.5,44164,4.427736007,535
13,North Park,1152009.971,1937235.151,3.9,13.2,9.9,14.4,39,26576,7.175269427,892
14,Albany Park,1151302.078,1931227.211,11.3,19.2,10,32.9,32,21323,9.231453676,2296
15,Portage Park,1140043.753,1925694.464,4.1,11.6,12.6,19.3,34,24336,7.985312513,3025
16,Irving Park,1150502.81,1926044.955,6.3,13.1,10,22.4,31.6,27249,9.116859946,2827
17,Dunning,1128650.418,1923084.188,5.2,10.6,10,16.2,33.6,26282,5.964032298,1635
18,Montclaire,1129781.579,1917437.702,8.1,15.3,13.8,23.5,38.6,22014,8.01408159,627
19,Belmont Cragin,1138943.497,1916571.634,10.8,18.7,14.6,37.3,37.3,15461,8.644325971,4517
20,Hermosa,1147346.652,1915119.716,6.9,20.5,13.1,41.6,36.4,15089,10.11973735,1457
21,Avondale,1152907.782,1920609.195,6,15.3,9.2,24.7,31,20039,11.51313645,2154
22,Logan Square,1156611.578,1914944.004,3.2,16.8,8.2,14.8,26.2,31908,9.647232654,5112
23,Humboldt park,1151216.159,1906926.141,14.8,33.9,17.3,35.4,38,13781,15.83948794,7522
24,West Town,1163041.478,1907678.393,2.3,14.7,6.6,12.9,21.7,43198,8.734615844,7754
25,Austin,1140839.462,1903174.321,6.3,28.6,22.6,24.4,37.9,15957,14.1885173,15719
26,West Garfield Park,1148754.852,1898785.758,9.4,41.7,25.8,24.5,43.6,10934,27.50493583,5340
27,East Garfield Park,1155086.641,1898653.301,8.2,42.4,19.6,21.3,43.2,12961,19.89958923,4727
28,Near West Side,1167030.371,1898359.955,3.8,20.6,10.7,9.6,22.2,44689,11.79015866,8891
29,North Lawndale,1152306.328,1892568.863,7.4,43.1,21.2,27.6,42.7,12034,21.88817848,8073
30,South Lawndale,1153804.007,1886910.848,15.2,30.7,15.8,54.8,33.8,10402,14.10365738,4460
31,Lower West Side,1164977.78,1890104.878,9.6,25.8,15.8,40.7,32.6,16444,13.39483659,2455
32,Loop,1176373.765,1899831.267,1.5,14.7,5.7,3.1,13.5,65526,24.62908012,8471
33,Near South Side,1177515.822,1891960.5,1.3,13.8,4.9,7.4,21.8,59077,16.02202244,1773
34,Armour Square,1174986.158,1885368.999,5.7,40.1,16.7,34.5,38.3,16148,8.842946491,970
35,Douglas,1178644.673,1883037.725,1.8,29.6,18.2,14.3,30.7,23791,16.14894659,2435
36,Oakland,1182513.802,1879411.798,1.3,39.7,28.7,18.4,40.4,19252,12.97478992,643
37,Fuller Park,1175369.219,1872424.73,3.2,51.2,33.9,26.6,44.9,10432,23.41813438,878
38,Grand Boulevard,1179550.78,1875098.13,3.3,29.3,24.3,15.9,39.5,23472,18.36869479,3073
39,Kenwood,1184695.884,1873854.154,2.4,21.7,15.7,11.3,35.4,35911,10.97856658,1309
40,Washington Park,1178721.819,1867469.842,5.6,42.1,28.6,25.4,42.8,13785,20.54995417,2527
41,Hyde Park,1186089.021,1869685.519,1.5,18.4,8.4,4.3,26.2,39056,12.3229951,1635
42,Woodlawn,1183329.561,1862661.986,2.9,30.7,23.4,16.5,36.1,18672,22.40383028,3400
43,South Shore,1191640.433,1856742.384,2.8,31.1,20,14,35.7,19398,18.54188211,7673
44,Chatham,1180671.843,1849610.092,3.3,27.8,24,14.5,40.3,18881,16.29837627,5879
45,Avalon Park,1188003.18,1850418.925,1.4,17.2,21.1,10.6,39.3,24454,8.637951106,1229
46,South Chicago,1196006.85,1849748.832,4.7,29.8,19.7,26.6,41.1,16579,20.95449025,4442
47,Burnside,1185110.214,1844340.605,6.8,33,18.6,19.3,42.7,12515,13.63271852,370
48,Calumet Heights,1190937.86,1845421.955,2.1,11.5,20,11,44,28887,6.779374472,1291
49,Roseland,1178008.418,1835643.647,2.5,19.8,20.3,16.9,41.2,17949,13.33146853,6412
50,Pullman,1184025.329,1835591.567,1.5,21.6,22.8,13.1,38.6,20588,13.14623338,1124
51,South Deering,1193160.361,1838368.519,4,29.2,16.3,21,39.5,14685,9.079754601,1767
52,East Side,1202111.449,1836319.062,6.8,19.2,12.1,31.9,42.8,17104,9.164596679,1264
53,West Pullman,1175344.454,1825153.903,3.3,25.9,19.4,20.5,42.1,16563,15.79134138,3622
54,Riverdale,1182874.405,1818033.127,5.8,56.5,34.6,27.5,51.5,8201,24.03184944,1194
55,Hegewisch,1199718.163,1818873.475,3.3,17.1,9.6,19.2,42.9,22677,8.415328845,545
56,Garfield Ridge,1140405.968,1869256.647,2.6,8.8,11.3,19.3,38.1,26353,8.99587975,1918
57,Archer Heights,1149665.127,1872566.922,8.5,14.1,16.5,35.9,39.2,16134,9.552941176,835
58,Brighton Park,1157833.455,1876199.177,14.4,23.6,13.9,45.1,39.3,13089,13.32147937,2501
59,McKinley Park,1163984.329,1881505.368,7.2,18.7,13.4,32.9,35.6,16954,10.55844855,988
60,Bridgeport,1170897.642,1883763.908,4.5,18.9,13.7,22.2,31.3,22694,11.09898902,1582
61,New City,1167312.794,1872105.502,11.9,29,23,41.5,38.9,12765,20.47165078,4604
62,West Elsdon,1150220.774,1867731.839,11.1,15.6,16.7,37,37.7,15754,5.974962064,1051
63,Gage Park,1157991.887,1868524.764,15.8,23.4,18.2,51.5,38.8,12171,9.096192967,2238
64,Clearing,1138434.246,1862338.987,2.7,8.9,9.5,18.8,37.6,25113,6.689442363,903
65,West Lawn,1149762.364,1859820.285,5.8,14.9,9.6,33.6,39.6,16907,6.366161077,2045
66,Chicago Lawn,1158889.928,1860805.216,7.6,27.9,17.1,31.2,40.6,13231,15.75783831,5517
67,West Englewood,1166461.104,1861781.98,4.8,34.4,35.9,26.3,40.7,11317,22.38861571,6442
68,Englewood,1172131.46,1861861.478,3.8,46.6,28,28.5,42.5,11888,29.41176471,5779
69,Greater Grand Crossing,1179381.01,1856999.782,3.6,29.6,23,16.5,41,17285,18.89540504,6213
70,Ashburn,1153845.873,1850607.901,4,10.4,11.7,17.7,36.9,23482,4.663093415,2581
71,Auburn Gresham,1169337.426,1850830.72,4,27.6,28.3,18.5,41.9,15528,13.50302196,7152
72,Beverly,1164529.216,1838321.86,0.9,5.1,8,3.7,40.5,39523,4.662034112,911
73,Washington Height,1170876.014,1841023.256,1.1,16.9,20.8,13.7,42.6,19713,8.51905451,3029
74,Mount Greenwood,1154848.722,1832033.633,1,3.4,8.7,4.3,36.8,34381,5.207485761,561
75,Morgan Park,1167279.655,1830138.284,0.8,13.2,15,10.8,40.3,27149,8.606831882,1853
76,O`Hare,1106851.17,1934484.285,3.6,15.4,7.1,10.9,30.3,25828,8.23723229,1395
77,Edgewater,1166795.73,1938316.966,4.1,18.2,9.2,9.7,23.8,33385,10.2557086,2188
